username,age,occupation,status,gender,filtered sentence,Language,y,translated_occupation,status_lem,translated_occupation_lem,translated_occupation_category
 armymillme,40.0,soldier,single,male,My name Miller soldier working American government couple years military man I man good sense humor man fear God I looking woman help build homefamily woman good potentials woman fear God woman respect husband willing ready respect darling wife I hope find perfect woman raise God fearing family withfor,af,1,soldier,single,soldier,military
 Arnett231,61.0,consultant,widowed,male,Most people say I easy going guy sometimes set ways I feel like I old enough know I like change open minded person extremely laid back Earth I like funI enjoy working around house whether inside could say Im handy love job makes life easierI work hard I want woman I share life love I like everything I think really dont care doI dont like dramaif attitude positive always fun I like eat healthy I love chicken wings China Buffet Italian dishes love I consulting Oil Spillage also hold degree Civil Engineering I like interesting conversation interesting people also love meeting new people around Globe I love people I also love space privacy I See Gods Work Everything Everyone try keep open mind meeting people,it,1,consultant,widowed,consultant,office
 arnoldo,50.0,engineering,single,male,loving caring good looking man love traveling playing watching sport meeting people,nl,1,engineering,single,engineering,engineer
 arontyler,46.0,engineer,widowed,male,Hi every body new glad hoping find right woman ready spend rest Her life time good Honest looking person life,nl,1,engineer,widowed,engineer,engineer
 arronbredon,55.0,Civil Engineer,widowed,male,Im humblehonest personthat like like traveling shopping Reading Golf Music sports I like meet people real honest like help need,en,1,civil engineer,widowed,civil engineer,government
 arthurlogan15,56.0,Administration,divorced,male,I honest good man I also kind caring generous I good manners respect,en,1,administration,divorced,administration,office
 ashley,29.0,self employed,single,female,Im understanding person always support man everything sit neck go one side road direction On one hand Im positive optimistic person never get bored hand Im serious woman rely No lies games feelingsbut love care supportthis feel So lets keep love heart A life without like sunless garden flowers dead Im searching ordinary man I feel happy create strong family two people support care I love something gave I give love existence life Unconditional love What better love person know mutual Of course nothing replace us big gift life I want find save never lose I think ideal people excellent character I want find man share everythingnot good also bad together moment happiness moment desperate I really want love heart reason lets try find happiness enjoy life full love,en,1,self employed,single,self employed,self employed
 ashley02,39.0,Engineer,divorced,female,nice Caring woman great sense humor Loves traveling cooking Family oriented Hoping meet special Man treat like Queen treat like King My Best friend Good listener,af,1,engineer,divorced,engineer,engineer
 ashleyjessie,26.0,hairstylist,single,female,cool lovely girl love travelling reading journals,fi,1,hairstylist,single,hairstylist,media
 Ashyln005,28.0,military,single,female,I single definitely kid My personality different women youve met especially country women Well I dont wan na judge coz different culture I respect culture Ive grown decent woman I hate man rude characteristic,tl,1,military,single,military,military
 asrah6353,54.0,Architect,widowed,male,A simple man humble cool nice loving caring allot affection passionate Friendly sense humour business savvy confident honest worldly intelligent gentleman I really enjoy business discussing industry since I find interrelated similar infrastructures I entrepreneur I innovation development design finance marketing accounting investing real estate etc almost everything needed small business Politically I republican believe many liberal views freedoms I believe economic freedom almost anything upholds freedom smaller government,en,1,architect,widowed,architect,construction
 astoulove4u,24.0,student,single,female,I unique person many reasonsIn going find man blessed abundance passion give ones I share heart soul For really know experience,nl,1,student,single,student,education
 Aubert65,56.0,self employed,divorced,male,I lucky man live life meaning purpose deliberately mine I want share I someone equal My value human found intelligence sense humor ability love make around happy better I long experiences stuff I think friends would say I independent honest creative loyal fun,en,1,self employed,divorced,self employed,self employed
 aubrey,32.0,self employed,single,female,I supportive caring loyal tolerant characters humble honest understanding truthful,en,1,self employed,single,self employed,self employed
 Audrey51,51.0,Engineering,widowed,male,Im straight forward honest fault easy get along Im funny strong I need soft hearted time I great sense humor definite romantic side love kiss hold hands I especially like sharebig things little things everythingmost things better sharedAgda 8yrs old leaving alone together ever since wife died Im emotionally balanced stable I lot teachbut lot learnI believe day stop learning day die I lot give emotionallybut yearn find someone give much returnI may able leap tall buildings single bound Im faster speeding bullet Im powerful locomotivebut I cook Im pretty darn handy fixing thingsIm looking someone realizes essence good relationship starts like ever love If two people cant friends develop something moreIm gentle heart man Im looking someone realizes gentle heart man chivalrous synonymous chauvinist,af,1,engineering,widowed,engineering,engineer
 aussiequeen,30.0,nurse,single,female,describe kind sincere spiritual person Of course good bad features character anyone else always work trying improve inner growth find future life partner soulmate best friend man dream one person looking serious relationship would lead something beautiful significant life,ro,1,nurse,single,nurse,medical
 Austin23,36.0,construction engineer,single,male,Am Austin simple fun,en,1,construction engineer,single,construction engineer,construction
 austine111,46.0,,single,male,Im honest decent ladyI appreciate harmonious relationship home comfortIm gentle careful try keep good formI live healthy lifeI smoke sometimes drink wine good atmosphereIn spare time I work Pediatric nurse UNICEF I like go nature galleries paintings theater like cook Im sociable personIm well educated good taste Ive got piercing face doesnt make bad girl I love travel love children good communicate also children love toolol,tl,1,in,single,in,others
 authur,53.0,contractor,widowed,male,In truth whatever I write nothing window I really For full disclosure I suggest enter world learn interaction With I anxiously await arrival Regarding basics I believe handsome pretty boy intelligent nerd ambitious overzealous sensitive sissy affectionate clingy serious I need fun makes life fuller In short Im super sensual powerfully passionate natural romanticist tends great communicator great sense humour Im deep thinker even deeper feeler appeals let brotha know Its Note I ask respect I seek friendship I also reserve right deny friendship without need extend cause justification No offence simply guy,es,1,contractor,widowed,contractor,construction
 avis1,57.0,army,widowed,male,new looking right woman send email address tell self ok,cy,1,army,widowed,army,military
 avriel05,33.0,amry,single,female,I emotionally stable kindhearted accurate good sense humor I positive attitude life I value life try spend every minute happily I easily adapt new situations people I flexible relationship understanding I always try quotthe shoes peoplequot judge understanding actions find I gentle,cy,1,many,single,many,others
 awesomeprince,46.0,doctor,widowed,male,loving caring hard working faithful committed tender love cooking swimming reading dancing,es,1,doctor,widowed,doctor,medical
 ayilove,25.0,teacher,widowed,female,ayi name 30 looking soul mate add hangout ready ayilove0gmailcom,en,1,teacher,widowed,teacher,education
 baba,19.0,trader,single,female,name lindanat usa dallas looking friend,sv,1,trader,single,trader,trade
 babanee,55.0,architect,widowed,male,simple man likes simple things lifei love take step timei devoted man goal iswhat worth worth welli caringloving romantici good cook love help kitchen,en,1,architect,widowed,architect,construction
 babu,40.0,business,single,female,My name Mrs Ali looking nice ManMy name Mrs Ali looking nice ManMy name Mrs Ali looking nice Man precious one please want look profile dont annoyed whoever u please dont like 2 expose self lord say ami head tail low giving 2 nation 2 borrow almighty God said thanks love wonderful day,en,1,business,single,business,self employed
 baby143,25.0,modelling,single,female,I flattered attention I pleased I interested I consider like attractive woman Beautiful appearance main weapon woman I like give little time appearance Also I believe maintain conversation skill improving skill I keep health I bad habits I think girl educated lady say obscene words I think interesting observe world people meet way interesting unexpected life,da,1,modelling,single,modelling,media
 babyzarha,23.0,student,single,female,tell lateri tell lateri tell lateri tell lateri tell lateri tell lateri tell lateri tell laterv,nl,1,student,single,student,education
 Ballantine,41.0,military,widowed,male,Am cool easy going,tl,1,military,widowed,military,military
 Balusha,28.0,self employed,single,female,Im easy get along I love laugh fun I passionate secure I I respect people want respected I love showered attention I love going dancing enjoying person I withIm openhearted girl likes take everything life offer give return well I active enthusiastic I cheerful I treat people I want treat I attentive caring I need love loved bring future man happiness joy I dont like sit one place I dreaming strong friendly family I ready serious relationship I ready start man knows make woman happy,en,1,self employed,single,self employed,self employed
 bandelldora,29.0,clerk,single,female,Im Native American woman Honesty Integrity constant life I like Real people I live life trying best person I possibly Im passionate compassionate loving woman Learning growing important spiritually evolving I go Love God I leave life handsFamily invaluable Open minded I accept people I love great sense humor Im attracted man word A strong God fearing man great morals strong demeanor Generous time money I love pampered treated like queen I love flowers dinning I love going movies staying cozy evening Im hopeless romantic seeking man I grow old withI found statement online I think profound It embraces core persona belief systemId rather dislike I like Im,en,1,clerk,single,clerk,office
 bannerk,44.0,businessman,widowed,male,I Honest Mancaring earth I love every good things life plus finding best relationship I love everything co make life worth livingI hard working Live independently,en,1,businessman,widowed,businessman,self employed
 bantyphage,32.0,chef,single,female,I passionate everything life halfway Once I decide get involved someone something I jump feet get fully engaged Family friends follow closely behind theres things I fun snow skiing mountain biking racing great food Im looking someone smart funloving focused important things life I also enjoy quiet evening good meal bottle wine dining friends working watching movies watching sports Im looking someone shares passion conversation time together whether quiet evening home dinner friends attending football game I believe chivalry still place society saying doesnt make sexist sexiest thing woman brain course nice smile important,cy,1,chef,single,chef,service
 Barbiebee,28.0,self employed,single,female,Am blunt free person earth friendly love swimming nature reading traveling Am ambitious person responsible true love honest people trust worthy understanding searching someone share laughter tell happy tales together Be real true,en,1,self employed,single,self employed,self employed
 barbra,24.0,student,single,female,feel alone face live need honest person consul time love much take good care treat like father use alive really suffered much I need man treat like little baby I love Barbra,nl,1,student,single,student,education
 barleyweather,45.0,military,single,male,Am easy going someone love hang go beach fun lot Single never marriedIm fun loving person I love smile always make people smile simple arrogant respects womans feelings I dont trample I understanding person dont look people Im absolutely simple man dimension want go I love going beach theaters concerts love play pool I swim pools go camping sometimes maybe picnic gentle walk parks I love kissing Im romantic I dont cheat I hate games lying I dont ever like hurt woman I hate lied,tl,1,military,single,military,military
 Barnett,48.0,military,divorced,male,I simple easy going person I dont look trouble,tl,1,military,divorced,military,military
 barry2017,57.0,doctor,single,male,caring loving person love helping others needs,es,1,doctor,single,doctor,medical
 Barry506,46.0,engineering,widowed,male,honest man love things personal way honest man looking lovely n nice woman woman good heart,nl,1,engineering,widowed,engineering,engineer
 Barrylynn,49.0,marketing,widowed,male,My name Lynn Barry I VP Marketing chevron Concept Management International Tours,da,1,marketing,widowed,marketing,office
 Barrywilliam,53.0,Engineering,widowed,male,I simple easy going person positive optimistic transparency,af,1,engineering,widowed,engineering,engineer
 Bashanjennifer,26.0,student,single,female,name Jennifer single easy going searching loving caring honest passionate affectionate man also fear God Im really looking relationship I want friends nowI calm romanticPromise devoted wife caring mother Would like create strong friendly familyI looking someone smart loyal honest caring understands melooking someone hang see takes us,nl,1,student,single,student,education
 Batie,36.0,Self Employed,single,female,I love eat healthy exercise regularly My health comes first Having great health enables live love contribute grow experience lifes blessings meant experienced,en,1,self employed,single,self employed,self employed
 bauer1112,60.0,self employed,widowed,male,Good day thanks stopping profileCan honest Can complement complicate I enjoy life fullest try fun matter Im Always looking bright side Summer I spend lot time water Love camp fires games bowling darts pool I enjoy travel photography movies beach picnicks theater golf horse riding good conversation love laughI cookcleando laundry real man looking real woman thing doors NASCAR watching going races concerts street fairs Week end get always boat van gas gone real destination Exploring Im nice guy Im kind thoughtful considerate easy going enjoy helping others happy never get angry I take everything stride easy going hard anger kind honest giving polite LOYALand always give thanks Someone count I enjoy showing affection woman Flowers reason smile Opening doors holding chair helping coat go market herwarm bath towel dryer herspread rose petals bedroomShower together candlelight wake prepare morning coffee getting bedFix hot cup Raspberry Chocolate cuddle warm afghan watch affairtell much honestly feel herit works every time Remember give morning kissing things spoil sunset together surprise everydaylike bringing home one small unexpected gift weekSurprise crystal vase full flowersput new piece jewelry jewelry box wait notice Yes I jobi self employed contractor What I special woman enjoy life,en,1,self employed,widowed,self employed,self employed
 Bbabyphilip,24.0,student,single,female,I nice looking girl I nice looking girl I nice looking girl I nice looking girl I nice looking girl I nice looking girl I nice looking girl,nl,1,student,single,student,education
 bearsexyme,29.0,Business,single,female,I compassionate loving kind generous enjoy simple things life I enjoy holding hands sometimes touch someone means something nice Im affectionate love laugh sense humor I like dining dancing movies shows especially classic rock blue bands spending time river bicycling gardening camping I Im quiet type gregarious type wont talk ear enjoy good conversations,de,1,business,single,business,self employed
 beaslypaul,49.0,military,divorced,male,I enjoy variety things I 49 years old sports fan man Utah I brown eyes black hair body athletic I live alone I children sometimes live home Im single white caucasian I like funny woman Im looking hetero single clever girl likes athletic man Come,tl,1,military,divorced,military,military
 beatrice0147,29.0,stylist,single,female,easy going person heart love honest caring lady want best self people around,fi,1,stylist,single,stylist,media
 beatty,38.0,self employed,single,female,I tell latterI tell latterI tell latterI tell latterI tell latter,en,1,self employed,single,self employed,self employed
 beautifulehiz,32.0,artist,single,female,Am Helen name easy going good heart love swimmingcooking going beah summer time I look forward meet nice man ready start new relationship forget past,en,1,artist,single,artist,art
 beauty47,30.0,Real Estate,single,female,I kind considerate warm hearted friendly honest sincere dont sweat small stuff gal My life partner must best friend someone I laugh love cry That accept think change later Would nice find someone similar interests,ro,1,real estate,single,real estate,construction
 beca101,28.0,selfemployed,single,female,caring homely earth,en,1,selfemployed,single,selfemployed,self employed
 becca,30.0,nurse,single,female,I patientgenerous kind loving I always upbeat positive attitude things I like fun I enjoy music theater movies art I love travel go sightseeing I love romantic dinners seaside resorts sunsetsI fun loving person loves laugh make others laugh I always try enjoy simple things lifeand take anything granted,ro,1,nurse,single,nurse,medical
 becky2k,18.0,student,single,female,Am nice good looking girl love meet new people world,nl,1,student,single,student,education
 bekky,27.0,nurse,single,female,im straight forward honest brazen times careful ask get honest truth So cant handle heat get kitchenLOL On lighter noteIm loving attentive caring huge heartyou need get hard exterior,ro,1,nurse,single,nurse,medical
 Belindaket,46.0,Fashion Designer,single,female,Im loving caring woman knows adore make man happy physical emotional,en,1,fashion designer,single,fashion designer,media
 bellalove44,41.0,self employed,divorced,female,woman looking good man woman looking good man woman looking good man woman looking good man woman looking good man woman looking good man woman looking good man woman looking good man,en,1,self employed,divorced,self employed,self employed
 bellaperkins,30.0,modelling,single,female,girl love spend rest life,da,1,modelling,single,modelling,media
 benedicta,25.0,student,single,female,I Benedicta Germany I looking serious husband,nl,1,student,single,student,education
 benhodges,50.0,Petroleum Engineer,single,male,Ben Hodges US work Ghana oil gas companyam looking serious woman,af,1,petroleum engineer,single,petroleum engineer,engineer
 benigalam,43.0,business man,widowed,male,friendly caring death wife I felt bad really need make get well lovingcaring romantic,en,1,business man,widowed,business man,self employed
 benja02,55.0,Civil Engineer,widowed,male,I happy enjoy life Im genuine see getI wear heart sleevenot playing games You know exactly stand No use beating around bush I believe noone perfect I love affection attentionand surprisesI giver taker enjoy making partner happy content always try go extra mile keep relationship exciting surprising fun romanticI love good laugh whether something else Im honestand respect others I believe treating others would want treated,en,1,civil engineer,widowed,civil engineer,government
 BenJas2000,46.0,military,widowed,male,OK seems little weird talking goes Im earth man yet sometimes complicated I love talk love laugh Im always adventure More come Im definitely thinker Please feel free ask questions I finish auto biography,tl,1,military,widowed,military,military
 benoni,32.0,nurse,single,female,My friends described outgoing shy fun around always wearing smile I feel age number always try keep appearance young looking staying active I enjoy long walks dining right person listening good music Dancing singing playing piano viewing beautiful artwork working hands interest I love spending time outside especially fall I told I ball fire full energy I love getting dressed going enjoy special nights listening music snuggled blanket curled sofa I would like meet loyal companion similar interests could enjoy things together He would feel comfortable around family friends enjoy outdoors holding hands strong love loyalty family faith friends I looking someone outgoing honest warm compassionate open feelings There much I would like share I would rather save one special guy really wants get know I experience couple dates sites unfortunately got hurt So I giving one shot I throw computer trash Thankyou reading profile I look forward meeting someday,ro,1,nurse,single,nurse,medical
 benson24,53.0,Civil Engineer,divorced,male,I patient man respectful needs wants people I supportive others even I really want Im always willing help I consider friends I enjoy helping friends reach goals I loyal around especially involves personal relationships Sometimes others fewer principles tend take advantage easygoing complacent personality Im inclined avoid sudden decisions preferring think things first I like gather facts think things offering strong opinion I tend dislike sudden abrupt changes I prefer things way If broken dont fix Im hopeless romantic,en,1,civil engineer,divorced,civil engineer,government
 benson31,68.0,selfemployed,widowed,male,Full life action I vibrant personalityGood sense humor sincere trustworthy loyal caring loving understanding sensitive romantic wow mouth full true I take pride appearance believe treating people way I would like treated I spontaneous thoughtful enjoy things life always willing try new things Like keep fit healthy Gym Bush walks Mountain Biking Trail riding cause beach doors type room quite nights candle lite dinners nice music glass wine conversation BBQ cold beer good companyI retired could away home sometimes jewelry store settling find right woman Like meet woman takes pride feels comfortable pair jeans shorts tee shirt gown heels mostly inner character person Im sincere search playing games I enjoy company quite happy thing well sharing moments I seeking looking true love womanI seeking looking serious honest relationshipI looking soul mate lover wife true friend one spend rest life,en,1,selfemployed,widowed,selfemployed,self employed
 Bensweetman,48.0,Petroleum Engineer,single,male,cool man honest typei dont cheat play gamesi type man knows looking serious typei like open book easy goingi love make sure person beside always happy caringemotional romantic,af,1,petroleum engineer,single,petroleum engineer,engineer
 berk,50.0,engineer,single,male,Im easy going uncomplicated happy life I man My sense humor little different If like laughwere going get along fine I love beach swimming ocean moon stars meals meals good music movies dogs golfing fishing adore company intelligent funny fun witty engaging woman Bottom lineIm looking something unique someone unique I believe three things strongly 1 Life short Be happy 2 Laugh often possible Its good heart mind soul 3 If say somethingdo If dont mean itdont say Things important honesty trust respect communication kissing I think kissing reveals someones true passion soul,nl,1,engineer,single,engineer,engineer
 BernardBenesh,49.0,army,widowed,male,I cherish friendships consider loyal friend I love types arts amp crafts projects I prefer cooler temperatures hot Honesty trust care love means lot I hate liars I shy outgoing timid strong loner loves around people It depends I familiar comfortable I,cy,1,army,widowed,army,military
 bernice231,28.0,service,single,female,I tender romantic woman I wish admit I woman knows exactly needs life doesnt want loose time vain I like care people close I lot love heart I want give someone,en,1,service,single,service,service
 Beronica22,31.0,cashier,single,female,Im basically positive person loves humor laughter would love someone adventurous spirit positive attitude,en,1,cashier,single,cashier,service
 bertha,32.0,self employed,single,female,Am honestloving caring understanding woman need man take home think best among women caring demanding,en,1,self employed,single,self employed,self employed
 bestlover994,46.0,military,widowed,male,I caringhumblefaithfultruthfulloyal respectful man I love meet kind person,tl,1,military,widowed,military,military
 bestmohd,46.0,Self Employed,single,male,More I single Im 511quotam mentally stable physically fit bunch laughs warm caring honest good listeningand mostly God Fearing positive personI real easy person talk good listener I love play golf I like going movies watching movies room I like swimming listening music dance kind music traveling going bowling also good cookI family oriented person ifThere would better find things Am looking woman able listen communicate feelings make laugh hold comfort needstand respect,en,1,self employed,single,self employed,self employed
 Beth78,28.0,nanny,single,female,Let introduce firstI outgoing person also understanding loving caring I spare time I like reading listening music watching movies sports How Have ever taste VN food Do like If like hope cook one dayI really hope would like letter sent If also interested,tl,1,nanny,single,nanny,service
 bhardest555,34.0,marketing,single,female,Im woman doesnt live fairytale prince white horse come take heart No Im searching ordinary man I feel happy create strong family two people support care I love something gave I give love existence life,da,1,marketing,single,marketing,office
 Bigbest1967,47.0,engineer,single,male,Im easy going mani love care partnerunderstandinghumbleGod fearingi love live simple lifeopen minded flexible situationI love smile keep going I seeking loving caring understanding truthful woman knows want man,nl,1,engineer,single,engineer,engineer
 bigheart33,50.0,Engineer,divorced,male,Basically I love life I love living life I enjoy outdoors traveling restaurants laughing going cultural events socializing quality people Its better living sharing life someone else,af,1,engineer,divorced,engineer,engineer
 biglove11,36.0,cashier,single,female,Im cheerful sociable girl dreams find good man Im family oriented Im sociable lot friends Im kind tolerant I always try understand people difficult situation cause Im sensitive someones pain I want find second part create happy family,en,1,cashier,single,cashier,service
 big_me,49.0,Selfemployed,widowed,male,I intelligent attractiveand professional American man lives life fullest passionate Man deep thinker I feel things deeply I always thinking something I dream lot I intense sensualMy heart already free I love kiss I spontaneous I animalistic chemistry I meet someone wellI like laugh enjoy life I love outdoorsI love adventure trying new things I open type activity I dont mind get hands dirty necessaryI love romance eye contact I playful love give receive affection constantly I real person looking forward meet real woman I dont like Women lie use hurt people I hate stood broken promises If stay away meI dont want one memorable night I want endless memorable nights someone TRULY SPECTACULAR I outgoing easy talk I always make people feel comfortable around meI honest man lot intense passionate love give right person give meI creative personal life business I love music I write song lyrics poetry I love live music Words deep meaning touch turns Rock Roll rules heart nothing like rock roll song sexy beat I like slow sensual music wellI looking connection right woman really sweet loving heart full passion knows treat man rightwho respectful knows love trulymadlypassionately deeplyIf get interested way drop line phone number email address could reach directlyHope hear soon,en,1,selfemployed,widowed,selfemployed,self employed
 bill12221,61.0,engineer,widowed,male,good looking gentle man would say also God fearing man common sense humor caring loving affectionate romantic,nl,1,engineer,widowed,engineer,engineer
 Bill505,53.0,construction,divorced,male,I michalis Greece living working engineerindependent contractor AustinTX Im easygoing nonmaterialistic lowmaintenance athletic cheerful stable I enjoy trying new things seeing new places people watching festivals concerts country dancing road trips hiking horseback trail rides gardening love cook laughing enjoying life day day I family oriented I like stay home someone special lifeI gentle easy going guyi hard workingi honest vowed always honesti faithfuli like people liesand hate lie tooi hate people pretends I looking friend companion share life Life short spend alone She must honest trustworthy loyal I looking someone friend first companion best friend I looking someone serious relationship playing head heart games Someone caring feeling treat way want treated,fr,1,construction,divorced,construction,construction
 bill879,48.0,Telecommunications,widowed,male,confident smart kind elegant sociable sensitive gentle cheerful romantic responsible serious confident calm purposeful persistent smart responsible honest modest kind loyal flexible elegant sociable communicative sensitive gentle cheerful optimistic romantic considered I one Bill Junior Son 4months old,en,1,telecommunications,widowed,telecommunication,service
 billedee,52.0,contractor,divorced,male,AM BILL ERDEEN BY NAME AND A SINGLE DAD WHO IS IN SEARCH OF THAT SPECIAL LADY TO MY HEART AM ERR JUST BE WITH THE WOMAN OF MY DREAMS AND I KNOW IT MIGHT BE YOU OUT THERE BE FREE TO TEXT ME IF YOU LIKE ME BT MUST BE 40 ABOVE MUST BE WHITE ONLY,es,1,contractor,divorced,contractor,construction
 billmax,43.0,engineer,widowed,male,I call Ladies manBefore get ideasIn Contest means That like around meWhich I think make feel comfortableJust like anyone I like finer things lifeMy friends tell Im funny occasionintelligent laid backand confidentI like good intellectual conversation Other times I love joke aroundI think laughter healthyI love watch comedy showsIm good listener I like compromise talk things OverallIm easy going I love cultures women Sometimes I think women rulers earthI work hard I love laugh good timeI take pride way I look I stay shapeI love outdoorsseeing live music shows dining intelligent conversation animals good bottle wine seeing great movieI happy healthyfunnyvery romantic single live aloneI love animals completely drug disease freeI well established carrier goal orientedand financially secure job I enjoy,nl,1,engineer,widowed,engineer,engineer
 billy481,51.0,engineer,divorced,male,Nothing mucham brian fordbritish americanborn october 7th 1960got daughte r name lindabeen divorce 3yrsam easy goingdown earthwith good sense humourwe talk later Am engineerself employed nowthough I like jobusually lots deskgot fed sometimes cos makes travel lotthinking settling I time familyI serious comes workbut I hate daughterpromise come,nl,1,engineer,divorced,engineer,engineer
 billys,50.0,self employed,widowed,male,cool headed gentle manhumble always selfi enjoy best fullest cos tomorrow promise,en,1,self employed,widowed,self employed,self employed
 bintafayen,23.0,student,single,female,I want honest person love contact bintafayenhotmailcom,nl,1,student,single,student,education
 bistrow991,35.0,army,single,male,bistrow solomon easy goinghonest caring understanding man likes dance cookgo enjoy outdoors hikingwalk parks insect hunting,cy,1,army,single,army,military
 Bitch202,51.0,Engineer,widowed,male,I easy going gentleman knows treat woman right loving caring earth understanding I want find better half share rest life partner till end,af,1,engineer,widowed,engineer,engineer
 Bjusttaxfl057,57.0,self employed,widowed,male,I easy going gentleman knows treat woman right loving caring earth understanding I want find better half share rest life partner till end,en,1,self employed,widowed,self employed,self employed
 blarry232,47.0,military,widowed,male,Im honest caring God fearing person I love go beach play tennis spend quality time love Im romantic well,tl,1,military,widowed,military,military
 bless,27.0,student,single,female,wll te youa wll te youa wll te youa wll te youa wll te youa wll te youa wll te youa wll te youa wll te youa wll te youa wll te youa wll te youa wll te youa wll te youa wll te youa wll te youa wll te youa wll te youa wll te youa wll te youa wll te,nl,1,student,single,student,education
 blessingcotty,36.0,banker,divorced,female,cool easy going caring gentle lady straight easy going person loves meeting people travelling working like making friends learn teach good values life,id,1,banker,divorced,banker,finance
 Blessmelord,50.0,military,divorced,male,I enjoy variety things I 50 years old sports fan man Connecticut I hazel eyes blonde hair body average I live alone I children live away home Im looking one night stand fling anything like,tl,1,military,divorced,military,military
 blondutza,28.0,Primary school teacher,single,female,good onest woman friendly great sence humor happy optimist romantic loving caring,en,1,primary school teacher,single,primary school teacher,education
 bloomg6,52.0,engineer,widowed,male,well name George im one kind simple honest life I really appreciate warmth genuine caring love peace I enjoy rhapsodic melodies flow harmony send waves pleasure mind I adore infectious laughter brightens world invigorates soulI passionately appreciate uninhibited writing explores emotions stimulates thoughts I heart express true love trust My wish good pleasant long term relationship The important thing faithfulness respect Nice time friends well time alone balance reflection finding new experiences still searching one share I kind loving person looking someone willing let loves I I much offer someone willing take leap faith I consider loyal honest looking someone shares values I enjoy seeing new things experiencing life I also enjoy relaxing someone special,nl,1,engineer,widowed,engineer,engineer
 BlueDiamond,50.0,medical doctor,divorced,male,Im sincere friendly outgoing honest I like meet serious minded woman,es,1,medical doctor,divorced,medical doctor,medical
 blueray01,41.0,military,widowed,male,Oki like outdoorsbut dont care hunting fishingwell fish unbaited hook means I get spend time someone I care lot things like boatingriding motorcyclescamping,tl,1,military,widowed,military,military
 blues,36.0,sales  marketing,single,female,I think success life determined effort passion fun I believe fairy tales happy ends I believe sincere relationship equality partners I quite passionate However achievable applying mind relationship realizing worth I may seem distant sometimes mask female weakness past heart wounds I tend steady relationship best make relationship work I tender romantic woman I wish admit I woman knows exactly needs life doesnt want loose time vain I like care people close I lot love heart I want give someone I know exactly I want get life I going waste time empty relationship I looking creating happy family right man I interested relationship longing perspective I intelligent caring reliable one I usual woman looking usual womans happiness As means love loved,da,1,sales  marketing,single,sales  marketing,office
 bmccoy5156,39.0,Construction,single,male,honest kind caring people would say honesty trustworthiness care greatest attitude I Love reading singing Watching TV going beach Sports SwimmingOutdoors Camping Fishing,en,1,construction,single,construction,construction
 bobby101,58.0,business,widowed,male,caring kind person searching love love marry,en,1,business,widowed,business,self employed
 Bobby5,55.0,Engineer,divorced,male,I cheerful man always support good joke giving good piece advice It seems main features openness tenderness attentiveness faithfulness I must honest yes Sometimes I may naughty little bit I always look bright side road I always believe bright future That I I absolutely sure second half really exists I wont hesitate make first steps find Surprised But also intentions And reading profile info right Im divorced Im looking life time partner create vacuum heartso I love start new life I didnt believe divorce Im seeking another life partner,af,1,engineer,divorced,engineer,engineer
 BobbyD,48.0,self employed,widowed,male,I honest man I looking partner possibly life I interested players wants play games I intelligent creative funny adventurous man needs matchI openminded many thingsI strong opinons wellI love travel I honestly dont know I end life great I think I spontaneous crazy believe Basically I looking woman accept try change mesimple,en,1,self employed,widowed,self employed,self employed
 bobphillips,56.0,military,single,male,I honest kind caring understand good sense humor passionate heart thats looking stable relationship I understand important lay lasting foundations lasting relationship I active person enjoys cycling running best I believe keeping fit important I interested games drama I looking woman living great love long term relation full respect love tenderness affection devotion loyalty I dame serious wish normal respectful life I romantic intelligent honest loyal likes dinner candles lights wine flowers sports I passionate temperament maybe I much romantic When I love someone love heart soul body I believe God send woman dreams trustful honored gentle patient tolerant arrogant generous gestures actions Someone making happy Someone I make happy share excellent worse moments life good thingsSo live life fullest,tl,1,military,single,military,military
 boldmind,55.0,general contractor,divorced,male,I good hearted man Simple hard working honest guy really wanting find someone special Im spontaneous lovingI love kissing long walksIm romantic heart really enjoy little things special someone long appreciated expected I caring I make woman happy Im always faithful nicetrustful I need compliment life good WOMAN Love treat WOMAN like WOMAN treated Respect Honesty I love music warm weather,es,1,general contractor,divorced,general contractor,construction
 bomiller,48.0,military,widowed,male,Im fun loving person I love smile always make people smile simple arrogant respects womans feelings I dont trample I understanding person dont look people Im absolutely simple man dimension want go I love going beach theaters concerts love play pool I swim pools go camping sometimes maybe picnic gentle walk parks I love kissing Im romantic I dont cheat I hate games lying I dont ever like hurt woman I hate lied I need someone believes wants serious relationship could lead marriage I rather think thats youre looking,tl,1,military,widowed,military,military
 bondyhom,58.0,engineer,widowed,male,I good manhonestcherishingCaring LovingPassionate AffectionateHonest ReliableTrustworthy Godly mani great sense humor believe things life necessary lifei loyal man fear God,nl,1,engineer,widowed,engineer,engineer
 bonniejanney588,24.0,self employed,single,female,Im Bonnie JanneyBJ short Tunckhannock pennsylvaniaTunckhannock close scrantonIm good listenerhonest got great sense humora friend mine recommended site told free scam yes thats ended lol Im see myselfi want real serious relationship man whos somewhat half,en,1,self employed,single,self employed,self employed
 Boobyjohn,51.0,Marine Engineering,widowed,male,I Bobby John CA USA I like eat fried fish bottle coke God fearing man absolute faith God Almighty need God fearing woman well,en,1,marine engineering,widowed,marine engineering,engineer
